Transcription;Arabic;Meaning
Salam;سلام;Hello
Shokran;شكرا;Thank you
Afak;عافاك;Please
Iyeh;إيه;Yes
Lla;لا;No
Labas?;لاباس?;How are you?
Labas, hamdullah;لاباس، الحمد لله;I am fine
Beslama;بسلامة;Goodbye
aji lhna;آجي لهنا;viens ici / come here
daba;دابا;maintenant / now / right now
hana radi nl3b;هانا رادي نلعب;là on va jouer / we're going to play
nl3b;نلعب;jouer / play (le “3” = ع)
sidi;سيدي;maître / monsieur
lalla;لالة;maîtresse / madame
labas / lebas;لاباس؟;ça va ? / all good?
bzaf;بزاف;beaucoup / very much
safi;صافي;c’est fini / okay / done
wach;واش;est-ce que ? / question marker
mzyan;مزيان;bien / good
ch7al;شحال;combien ? / how much?
diha lih;ديها ليه;apporte-le-lui / take it to him
hada;هاد;ça / this
ma3lich;ماعليش;pas grave / no problem / it’s okay
guelt lia;قلت ليا;tu m’as dit / you told me
dyal;ديال;de / belonging to / possessive particle
hana;هانا;me voici / here I am / I’m here
ghir;غير;juste / only
rah machi;راه ماشي;ce n’est pas / it’s not
siri / sir;سيري / سير;va / go
3lash / 3lach;علاش;pourquoi ? / why?
msemen;مسمن;crêpe marocaine carrée / Moroccan square pancake
sbah lkhir;صباح الخير;bonjour / good morning
hamdoulah / 7amdoulah;الحمد لله;الحمد لله / thank God / praise be to God
Bghit lma;بغيت ما;I want water
